,0
799,492
800,499
801,522
802,506
803,505
804,550
805,523
806,506
807,500
808,502
809,497
810,550
811,511
812,497
813,476
814,505
815,487
816,523
817,510
818,521
819,495
820,493
821,515
822,497
823,502
824,526
825,514
826,522
827,498
828,539
829,495
830,491
831,532
832,517
833,522
834,505
835,498
836,537
837,487
838,516
839,545
840,519
841,497
842,527
843,515
844,522
845,516
846,482
847,504
848,537
849,510
850,504
851,522
852,528
853,487
854,514
855,516
856,544
857,498
858,521
859,495
860,507
861,487
862,506
863,522
864,504
865,524
866,497
867,517
868,498
869,515
870,488
871,522
872,480
873,506
874,528
875,529
876,517
877,528
878,505
879,495
880,506
881,487
882,500
883,513
884,504
885,475
886,480
887,529
888,519
889,511
890,488
891,498
892,523
893,498
894,487
895,441
896,504
897,522
898,514
899,520
900,506
901,506
902,532
903,499
904,511
905,522
906,506
907,532
908,517
909,505
910,523
911,527
912,498
913,528
914,520
915,490
916,498
917,532
918,555
919,558
920,498
921,498
922,523
923,568
924,550
925,500
926,499
927,493
928,517
929,481
930,516
931,498
932,491
933,501
934,487
935,523
936,522
937,550
938,515
939,487
940,485
941,529
942,491
943,504
944,528
945,506
946,522
947,480
948,499
949,507
950,481
951,501
952,515
953,528
954,315
955,519
956,516
957,506
958,498
959,511
960,489
961,501
962,494
963,532
964,498
965,505
966,505
967,526
968,502
969,495
970,495
971,491
972,481
973,517
974,513
975,505
976,544
977,520
978,498
979,497
980,522
981,487
982,555
983,514
984,522
985,519
986,485
987,506
988,522
989,480
990,493
991,524
992,505
993,507
994,481
995,481
996,523
997,516
998,506
999,493
1000,422
1001,516
1002,495
1003,522
1004,514
1005,522
1006,522
1007,505
1008,487
1009,506
1010,487
1011,522
1012,500
1013,448
1014,528
1015,537
1016,498
1017,504
1018,532
1019,523
1020,515
1021,502
1022,526
1023,526
1024,505
1025,519
1026,504
1027,490
1028,485
1029,515
1030,498
1031,528
1032,550
1033,488
1034,517
1035,506
1036,487
1037,523
1038,500
1039,497
1040,452
1041,528
1042,510
1043,506
1044,487
1045,505
1046,534
1047,498
1048,513
1049,516
1050,464
1051,528
1052,522
1053,529
1054,483
1055,522
1056,505
1057,507
1058,436
1059,482
1060,534
1061,493
1062,522
1063,491
1064,469
1065,500
1066,505
1067,500
1068,507
1069,502
1070,529
1071,487
1072,488
1073,498
1074,514
1075,487
1076,485
1077,488
1078,487
1079,460
1080,497
1081,522
1082,511
1083,497
1084,523
1085,507
1086,498
1087,539
1088,498
1089,528
1090,522
1091,516
1092,490
1093,505
1094,499
1095,553
1096,558
1097,487
1098,522
1099,485
1100,510
1101,507
1102,491
1103,523
1104,514
1105,495
1106,439
1107,493
1108,523
1109,522
1110,511
1111,493
1112,517
1113,529
1114,498
1115,533
1116,480
1117,452
1118,495
1119,495
1120,533
1121,528
1122,511
1123,498
1124,487
1125,510
1126,526
1127,480
1128,492
1129,529
1130,522
1131,511
1132,522
1133,528
1134,487
1135,523
1136,507
1137,522
1138,506
1139,523
1140,505
1141,495
1142,502
1143,498
1144,523
1145,464
1146,517
1147,499
1148,493
1149,514
1150,527
1151,498
1152,491
1153,516
1154,487
1155,480
1156,523
1157,489
1158,529
1159,553
1160,480
1161,511
1162,515
1163,528
1164,469
1165,504
1166,528
1167,504
1168,528
1169,495
1170,506
1171,491
1172,522
1173,493
1174,513
1175,516
1176,487
1177,523
1178,505
1179,495
1180,523
1181,515
1182,497
1183,487
1184,501
1185,490
1186,523
1187,528
1188,504
1189,522
1190,523
1191,533
1192,523
1193,487
1194,487
1195,523
1196,469
1197,545
1198,528
1199,493
1200,550
1201,491
1202,511
1203,499
1204,493
1205,514
1206,491
1207,497
1208,522
1209,514
1210,487
1211,522
1212,522
1213,529
1214,553
1215,506
1216,501
1217,476
1218,498
1219,491
1220,505
1221,493
1222,488
1223,505
1224,480
1225,523
1226,549
1227,485
1228,526
1229,524
1230,515
1231,523
1232,487
1233,550
1234,522
1235,523
1236,522
1237,487
1238,555
1239,514
1240,504
1241,528
1242,513
1243,506
1244,511
1245,508
1246,485
1247,448
1248,523
1249,430
1250,499
1251,491
1252,516
1253,489
1254,526
1255,480
1256,508
1257,511
1258,516
1259,489
1260,491
1261,498
1262,495
1263,491
1264,506
1265,522
1266,505
1267,487
1268,511
1269,558
1270,491
1271,537
1272,502
1273,491
1274,491
1275,519
1276,522
